rank,name,conference,record,away_record,tournament_record,home_record
115,Northern Ky,Horizon,0.5294117647058824,0.0,1.0,0.875
116,San Diego St,MWC,0.23529411764705882,-0.16666666666666666,-0.2,0.625
117,Bowling Green,MAC,0.29411764705882354,-0.2857142857142857,0.5,0.7142857142857143
118,St Bonaventure,Atlantic 10,0.058823529411764705,-0.07692307692307693,-0.3333333333333333,0.3333333333333333
119,Louisiana Tech,C-USA,0.21212121212121213,-0.42857142857142855,-0.3333333333333333,0.8571428571428571
120,UCLA,Pac-12,0.030303030303030304,-0.4,-0.6,0.4444444444444444
121,Georgia St,Sun Belt,0.45454545454545453,0.0,0.6,0.8461538461538461
122,Georgia,SEC,-0.3125,-0.6363636363636364,-0.5,-0.058823529411764705
123,Pittsburgh,ACC,-0.15151515151515152,-1.0,0.5,0.2222222222222222
124,Montana,Big Sky,0.5294117647058824,0.2857142857142857,0.6666666666666666,0.6666666666666666
125,Ga Southern,Sun Belt,0.2727272727272727,0.0,0.6,0.3333333333333333
126,Georgia Tech,ACC,-0.125,-0.5,-1.0,0.2222222222222222
127,Drake,MVC,0.45454545454545453,0.16666666666666666,0.3333333333333333,0.6923076923076923
128,Loyola Chicago,MVC,0.21212121212121213,-0.09090909090909091,-0.2,0.5
129,Harvard,Ivy League,0.2413793103448276,-0.125,1.0,0.6
130,Jacksonville St,OVC,0.45454545454545453,0.17647058823529413,0.5,0.8
131,Ball St,MAC,-0.030303030303030304,0.06666666666666667,-0.5,-0.07692307692307693
132,Colgate,Patriot,0.4117647058823529,0.0,0,0.8666666666666667
133,UAB,C-USA,0.17647058823529413,0.09090909090909091,-0.14285714285714285,0.2857142857142857
134,Texas St,Sun Belt,0.45454545454545453,0.3333333333333333,0.5,0.5
135,Austin Peay,OVC,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.6
136,Boston College,ACC,-0.0967741935483871,-0.6,0.3333333333333333,0.1111111111111111
137,Rhode Island,Atlantic 10,0.09090909090909091,-0.23076923076923078,0.3333333333333333,0.2857142857142857
138,Kent St,MAC,0.375,0.14285714285714285,-1.0,0.6
139,Northern Ill,MAC,0.0,-0.2857142857142857,0.0,0.14285714285714285
140,Wright St,Horizon,0.23529411764705882,-0.16666666666666666,-0.6,0.7333333333333333
141,UTSA,C-USA,0.0625,-0.16666666666666666,-0.6,0.45454545454545453
142,Loyola Marymount,WCC,0.2903225806451613,0.07692307692307693,0.3333333333333333,0.38461538461538464
143,Southern Ill,MVC,0.0625,0.0,-0.3333333333333333,0.2
144,Radford,Big South,0.3333333333333333,0.125,0.3333333333333333,0.45454545454545453
145,Brown,Ivy League,0.26666666666666666,-0.06666666666666667,0,0.5384615384615384
146,Miami (OH),MAC,-0.0625,-0.42857142857142855,-0.3333333333333333,0.23076923076923078
147,North Texas,C-USA,0.2727272727272727,-0.07692307692307693,0.3333333333333333,0.42857142857142855
148,Marshall,C-USA,0.15151515151515152,-0.25,0.0,0.6
149,Boise St,MWC,-0.21212121212121213,-0.5384615384615384,-0.2,0.0
150,Fla Atlantic,C-USA,0.0625,-0.14285714285714285,0.0,0.09090909090909091
151,La-Monroe,Sun Belt,0.09090909090909091,-0.5,0.0,0.7142857142857143
152,Bucknell,Patriot,0.2727272727272727,-0.06666666666666667,0.3333333333333333,0.6
153,George Mason,Atlantic 10,0.09090909090909091,0.0,-0.5,0.29411764705882354
154,Abilene Christian,Southland,0.6363636363636364,0.42857142857142855,1.0,0.6363636363636364
155,Vanderbilt,SEC,-0.4375,-0.8333333333333334,-1.0,-0.1111111111111111
156,Stony Brook,America East,0.5,0.625,0.0,0.38461538461538464
157,UNLV,MWC,0.0967741935483871,0.09090909090909091,-0.3333333333333333,0.17647058823529413
158,Eastern Mich,MAC,-0.0625,-0.42857142857142855,0,0.0
159,Lehigh,Patriot,0.2903225806451613,0.058823529411764705,0,0.5714285714285714
160,Samford,SoCon,0.030303030303030304,-0.2857142857142857,0.0,0.25
161,UT Arlington,Sun Belt,0.030303030303030304,-0.17647058823529413,0.0,0.23076923076923078
162,Missouri St,MVC,0.0,-0.2857142857142857,-1.0,0.42857142857142855
163,Coastal Caro,Sun Belt,-0.03225806451612903,-0.3333333333333333,-0.3333333333333333,0.2727272727272727
164,UC Santa Barbara,Big West,0.375,0.07692307692307693,0.5,0.5384615384615384
165,California Baptist,WAC,0.06666666666666667,0.14285714285714285,-1.0,-0.2
166,Pepperdine,WCC,-0.058823529411764705,-0.6923076923076923,0.42857142857142855,0.23076923076923078
167,UNI,MVC,-0.058823529411764705,-0.5,0.0,0.16666666666666666
168,UTRGV,WAC,0.08571428571428572,0.06666666666666667,0.0,0.0
169,Northern Colo,Big Sky,0.3125,0.375,-1.0,0.45454545454545453
170,Duquesne,Atlantic 10,0.1875,-0.2,-0.3333333333333333,0.47368421052631576
171,Saint Joseph's,Atlantic 10,-0.15151515151515152,-0.6666666666666666,-0.2,0.25
172,NJIT,ASUN,0.2727272727272727,0.15789473684210525,0,0.38461538461538464
173,Gardner-Webb,Big South,0.35294117647058826,-0.058823529411764705,0.0,1.0
174,Sam Houston St,Southland,0.3125,0.0,0.0,0.6363636363636364
175,Ohio,MAC,-0.0967741935483871,-0.5384615384615384,-1.0,0.3333333333333333
176,Bradley,MVC,0.17647058823529413,-0.23076923076923078,1.0,0.2
177,American,Patriot,0.0,-0.06666666666666667,0,0.06666666666666667
178,Omaha,Summit League,0.3125,0.058823529411764705,0.3333333333333333,0.6363636363636364
179,Winthrop,Big South,0.2,-0.06666666666666667,-1.0,0.45454545454545453
180,Princeton,Ivy League,0.14285714285714285,0.06666666666666667,1.0,0.0
181,Santa Clara,WCC,0.03225806451612903,-0.09090909090909091,-1.0,0.25
182,Weber St,Big Sky,0.09090909090909091,-0.16666666666666666,0.0,0.23076923076923078
183,Hartford,America East,0.09090909090909091,-0.058823529411764705,-1.0,0.38461538461538464
184,Wake Forest,ACC,-0.2903225806451613,-0.8181818181818182,0.0,0.0
185,New Mexico,MWC,-0.125,-0.5,-0.3333333333333333,0.125
186,Seattle U,WAC,0.125,-0.3333333333333333,-1.0,0.4117647058823529
187,FIU,C-USA,0.1875,-0.23076923076923078,0.3333333333333333,0.3333333333333333
188,Hawaii,Big West,0.16129032258064516,-0.1111111111111111,-0.5,0.375
189,Colorado St,MWC,-0.25,-0.45454545454545453,-0.5,-0.125
190,North Florida,ASUN,-0.030303030303030304,-0.4444444444444444,0.0,0.45454545454545453
191,Valparaiso,MVC,-0.09090909090909091,-0.23076923076923078,-0.2,-0.07692307692307693
192,Louisiana,Sun Belt,0.1875,0.0,0.0,0.3333333333333333
193,William & Mary,CAA,-0.0967741935483871,-0.375,-1.0,0.23076923076923078
194,Richmond,Atlantic 10,-0.21212121212121213,-0.2727272727272727,-0.2,-0.17647058823529413
195,Cornell,Ivy League,0.0,-0.29411764705882354,0,0.2727272727272727
196,Columbia,Ivy League,-0.2857142857142857,-0.38461538461538464,-0.3333333333333333,-0.4
197,Charleston So,Big South,0.0625,-0.42857142857142855,0.3333333333333333,0.2727272727272727
198,Indiana St,MVC,-0.03225806451612903,-0.38461538461538464,0.0,0.16666666666666666
199,Illinois St,MVC,0.030303030303030304,-0.6666666666666666,0.2,0.4666666666666667
200,Cal St Fullerton,Big West,-0.030303030303030304,-0.4666666666666667,0.0,0.4
201,Rider,MAAC,0.03225806451612903,-0.29411764705882354,0.0,0.5
202,Iona,MAAC,0.0625,-0.2,0.0,0.45454545454545453
203,Fairleigh Dickinson,NEC,0.21212121212121213,-0.125,0,0.4666666666666667
204,Presbyterian,Big South,0.09090909090909091,-0.29411764705882354,-1.0,0.5
205,Prairie View,SWAC,0.29411764705882354,-0.14285714285714285,1.0,1.0
206,Washington St,Pac-12,-0.3125,-0.6363636363636364,-1.0,0.058823529411764705
207,IUPUI,Horizon,0.0,-0.6,1.0,0.38461538461538464
208,Evansville,MVC,-0.3125,-0.7333333333333333,-1.0,0.0
209,Hampton,Big South,-0.03225806451612903,-0.4666666666666667,-0.3333333333333333,0.4
210,Pacific,WCC,-0.125,-0.3333333333333333,-1.0,0.0
211,Oakland,Horizon,-0.030303030303030304,-0.25,-1.0,0.2
212,Rice,C-USA,-0.1875,-0.4666666666666667,-1.0,0.0
213,Appalachian St,Sun Belt,-0.3125,-0.7333333333333333,-1.0,0.09090909090909091
214,La Salle,Atlantic 10,-0.3548387096774194,-0.45454545454545453,-0.3333333333333333,-0.2857142857142857
215,UIC,Horizon,0.0,-0.5,0,0.42857142857142855
216,Mercer,SoCon,-0.2903225806451613,-0.7142857142857143,-1.0,0.07692307692307693
217,Dartmouth,Ivy League,-0.26666666666666666,-0.7142857142857143,0.0,0.0
218,CSU Bakersfield,WAC,0.03225806451612903,-0.2857142857142857,0.0,0.2
219,Purdue Fort Wayne,Summit League,0.09090909090909091,-0.2,0.0,0.23076923076923078
220,Lamar University,Southland,0.21212121212121213,-0.25,0.0,0.6363636363636364
221,Green Bay,Horizon,0.030303030303030304,-0.5,0.0,0.5384615384615384
222,North Dakota St,Summit League,0.09090909090909091,-0.38461538461538464,0.14285714285714285,0.45454545454545453
223,Campbell,Big South,0.25,-0.16666666666666666,0.5,0.38461538461538464
224,Massachusetts,Atlantic 10,-0.3125,-0.8333333333333334,-0.3333333333333333,0.058823529411764705
225,UMKC,WAC,-0.3125,-0.6470588235294118,-1.0,0.16666666666666666
226,UMBC,America East,0.23529411764705882,-0.14285714285714285,0.3333333333333333,0.42857142857142855
227,FGCU,ASUN,-0.125,-0.42857142857142855,-1.0,0.3333333333333333
228,Boston U,Patriot,-0.09090909090909091,-0.1111111111111111,0,-0.14285714285714285
